name,Kommune
Ortsgemeinde Burgen,Ortsgemeinde Burgen
Ortsgemeinde Dedenbach,Ortsgemeinde Dedenbach
erden,Ortsgemeinde Erden
Ortsgemeinde Erden,Ortsgemeinde Erden
Ortsgemeinde Erzenhausen,Ortsgemeinde Erzenhausen
Ortsgemeinde Eulenbis,Ortsgemeinde Eulenbis
frankelbach,Ortsgemeinde Frankelbach
Ortsgemeinde Frankelbach,Ortsgemeinde Frankelbach
Ortsgemeinde Galenberg,Ortsgemeinde Galenberg
Ortsgemeinde Glees,Ortsgemeinde Glees
gornhausen,Ortsgemeinde Gornhausen
Ortsgemeinde Gornhausen,Ortsgemeinde Gornhausen
graach,Ortsgemeinde Graach an der Mosel
mosel,Ortsgemeinde Graach an der Mosel
Ortsgemeinde Graach an der Mosel,Ortsgemeinde Graach an der Mosel
hochscheid,Ortsgemeinde Hochscheid
Ortsgemeinde Hochscheid,Ortsgemeinde Hochscheid
Ortsgemeinde Hohenleimbach,Ortsgemeinde Hohenleimbach
Ortsgemeinde Kempenich,Ortsgemeinde Kempenich
kesten,Ortsgemeinde Kesten
Ortsgemeinde Kesten,Ortsgemeinde Kesten
kleinich,Ortsgemeinde Kleinich
Ortsgemeinde Kleinich,Ortsgemeinde Kleinich
Ortsgemeinde Kollweiler,Ortsgemeinde Kollweiler
kommen,Ortsgemeinde Kommen
Ortsgemeinde Kommen,Ortsgemeinde Kommen
Ortsgemeinde Königsfeld,Ortsgemeinde Königsfeld
lambsheim,Ortsgemeinde Lambsheim
Ortsgemeinde Lambsheim,Ortsgemeinde Lambsheim
lieser,Ortsgemeinde Lieser
Ortsgemeinde Lieser,Ortsgemeinde Lieser
longkamp,Ortsgemeinde Longkamp
Ortsgemeinde Longkamp,Ortsgemeinde Longkamp
lösnich,Ortsgemeinde Lösnich
Ortsgemeinde Lösnich,Ortsgemeinde Lösnich
Ortsgemeinde Mackenbach,Ortsgemeinde Mackenbach
maring,Ortsgemeinde Maring-Noviand
noviand,Ortsgemeinde Maring-Noviand
Ortsgemeinde Maring-Noviand,Ortsgemeinde Maring-Noviand
minheim,Ortsgemeinde Minheim
Ortsgemeinde Minheim,Ortsgemeinde Minheim
monzelfeld,Ortsgemeinde Monzelfeld
Ortsgemeinde Monzelfeld,Ortsgemeinde Monzelfeld
mülheim,Ortsgemeinde Mülheim an der Mosel
Ortsgemeinde Mülheim an der Mosel,Ortsgemeinde Mülheim an der Mosel
neumagen,Ortsgemeinde Neumagen-Dhron
Ortsgemeinde Neumagen-Dhron,Ortsgemeinde Neumagen-Dhron
Ortsgemeinde Piesport,Ortsgemeinde Piesport
piesport,Ortsgemeinde Piesport
Ortsgemeinde Reichenbach-Steegen,Ortsgemeinde Reichenbach-Steegen
Ortsgemeinde Rodenbach,Ortsgemeinde Rodenbach
rodenbach,Ortsgemeinde Rodenbach
Ortsgemeinde Schwedelbach,Ortsgemeinde Schwedelbach
Ortsgemeinde Veldenz,Ortsgemeinde Veldenz
veldenz,Ortsgemeinde Veldenz
Ortsgemeinde Weilerbach,Ortsgemeinde Weilerbach
Ortsgemeinde Wintrich,Ortsgemeinde Wintrich
wintrich,Ortsgemeinde Wintrich
Ortsgemeinde Zeltingen-Rachtig,Ortsgemeinde Zeltingen-Rachtig
rachtig,Ortsgemeinde Zeltingen-Rachtig
zeltingen,Ortsgemeinde Zeltingen-Rachtig
Stadt Osterholz-Scharmbeck,Osterholz-Scharmbeck
Stadt Otterberg,Otterberg
Stadt Paderborn,Paderborn
Stadt Papenburg,Papenburg
Stadt Parchim,Parchim
Stadt Pattensen,Pattensen
Stadt Penzberg,Penzberg
Kommunale Statistikstelle Stadt Pforzheim,Pforzheim
Stadt Pirmasens,Pirmasens
Verbandsgemeinde Pirmasens-Land,Pirmasens-Land
Landeshauptstadt Potsdam (LHP),Potsdam
Verbandsgemeindeverwaltung Prüm,Prüm
"Stabsstelle Statistik und Demografie, Recklinghausen",Recklinghausen
"Abteilung Statistik, Recklinghausen",Recklinghausen
Statistikstelle Recklinghausen,Recklinghausen
"Statistikstelle, Stadt Recklinghausen",Recklinghausen
Stadt Regensburg,Regensburg
Samtgemeinde Rehden,Rehden
Stadt Reinfeld - Holstein,Reinfeld - Holstein
ST Remagen,Remagen
Stadt Remagen,Remagen
Stadt Remscheid,Remscheid
Stadt Rendsburg,Rendsburg
Kommunale Statistikstelle der Stadt Reutlingen,Reutlingen
Stadt Reutlingen - Kommunale Statistikstelle,Reutlingen
Stadt Rheda-Wiedenbrück,Rheda-Wiedenbrück
Stadt Rheine,Rheine
Rheingau-Taunus-Kreis,Rheingau-Taunus-Kreis
Rhein-Kreis Neuss,Rhein-Kreis Neuss
Verbandsgemeinde Rhein-Mosel,Rhein-Mosel
Gemeinde Ritterhude,Ritterhude
Gemeinde Roetgen,Roetgen
Stadt Römhild,Römhild
Gemeinde Rommerskirchen,Rommerskirchen
Stadt Roßleben-Wiehe,Roßleben-Wiehe
Hanse- und Universitätsstadt Rostock,Rostock
"Hanse- und Universitätsstadt Rostock – Amt für Jugend, Soziales und Asyl",Rostock
"Hanse- und Universitätsstadt Rostock – Amt für Kultur, Denkmalpflege und Museen",Rostock
Hanse- und Universitätsstadt Rostock – Amt für Mobilität,Rostock
"Hanse- und Universitätsstadt Rostock – Amt für Stadtentwicklung, Stadtplanung und Wirtschaft",Rostock
"Hanse- und Universitätsstadt Rostock – Amt für Stadtgrün, Naturschutz und Friedhofswesen",Rostock
"Hanse- und Universitätsstadt Rostock – Amt für Stadtgrün, Naturschutz und Landschaftspflege",Rostock
Hanse- und Universitätsstadt Rostock – Amt für Umwelt- und Klimaschutz,Rostock
Hanse- und Universitätsstadt Rostock – Amt für Umweltschutz,Rostock
Hanse- und Universitätsstadt Rostock – Bauamt,Rostock
Hanse- und Universitätsstadt Rostock – Brandschutz- und Rettungsamt,Rostock
Hanse- und Universitätsstadt Rostock – Büro des Oberbürgermeisters,Rostock
Hanse- und Universitätsstadt Rostock – Hauptamt,Rostock
"Hanse- und Universitätsstadt Rostock – Kataster-, Vermessungs- und Liegenschaftsamt",Rostock
Hanse- und Universitätsstadt Rostock – Schulverwaltungsamt,Rostock
Hanse- und Universitätsstadt Rostock – Stadtamt,Rostock
Hanse- und Universitätsstadt Rostock – Stadtforstamt,Rostock
Hanse- und Universitätsstadt Rostock – Tiefbauamt,Rostock
"Kataster-, Vermessungs- und Liegenschaftsamt der Hanse- und Universitätsstadt Rostock",Rostock
Max-Samuel-Haus – Stiftung Begegnungsstätte für jüdische Geschichte und Kultur in Rostock,Rostock
Stadtwerke Rostock AG,Rostock
Volkshochschule der Hanse- und Universitätsstadt Rostock,Rostock
Stadt Rüsselsheim am Main,Rüsselsheim am Main
Landratsamt Saale-Holzland-Kreis,Saale-Holzland-Kreis
Landratsamt Saale-Orla-Kreis,Saale-Orla-Kreis
Stadtverwaltung Saalfeld/Saale,Saalfeld/Saale
Stadt Saalfeld/Saale,Saalfeld/Saale
Landeshauptstadt Saarbrücken,Saarbrücken
Stadt Salzgitter,Salzgitter
Samtgemeinde Altes Amt Lemförde,Samtgemeinde Altes Amt Lemförde
Samtgemeinde Altes Amt Lemförde,Samtgemeinde Altes Amt Lemförde
Samtgemeinde Artland,Samtgemeinde Artland
Samtgemeinde Bersenbrück,Samtgemeinde Bersenbrück
Samtgemeinde Fürstenau,Samtgemeinde Fürstenau
Stadtverwaltung Schalkau,Schalkau
Schalkau,Schalkau
Stadt Schalkau,Schalkau
Gemeindeverwaltung Scharbeutz,Scharbeutz
Scharbeutz,Scharbeutz
Schleiz,Schleiz
Stadt Schleiz,Schleiz
Stadt Schleusingen,Schleusingen
Schmalkalden,Schmalkalden
Stadt Schmalkalden,Schmalkalden
Stadt Schöningen,Schöningen
Samtgemeinde Schwaförden,Schwaförden
Gemeinde Schwalmtal,Schwalmtal
Gemeinde Schwanewede,Schwanewede
Stadt Schwarzenbek,Schwarzenbek
Stadt Schwentinental,Schwentinental
Vermessungs- und Geoinformationsbehoerde des Landkreises Ludwigslust-Parchim und der Landeshauptstadt Schwerin,Schwerin
Samtgemeinde Siedenburg,Siedenburg
Siegburg,Siegburg
Universität Siegen - Forschungsinstitut Wasser und Umwelt,Siegen
Kommunale Statistikstelle der Stadt Soest,Soest
Kommunale Statistikstelle,Soest
Stadt Soest,Soest
Stadt Sömmerda,Sömmerda
Stadt Sondershausen,Sondershausen
Sonneberg,Sonneberg
Stadt Sonneberg,Sonneberg
Stadtverwaltung Speyer,Speyer
Stadt Stadtilm,Stadtilm
Stadtilm,Stadtilm
Stadt Stadtroda und der beauftragenden Gemeinden,Stadtroda
Stadt Steinach,Steinach
Stadt Steinbach-Hallenberg,Steinbach-Hallenberg
Gemeinde Steinhagen,Steinhagen
Stadt Stolberg,Stolberg
Stdat Stolberg,Stolberg
Gemeinde Stuhr,Stuhr
S-Bahn Stuttgart,Stuttgart
Verkehrs- und Tarifverbund Stuttgart GmbH (VVS),Stuttgart
Landeshauptstadt Stuttgart,Stuttgart
Gemeinde Südlohn,Südlohn
Stadt Suhl,Suhl
Stadt Sulingen,Sulingen
Stadt Tambach-Dietharz,Tambach-Dietharz
Tambach-Dietharz,Tambach-Dietharz
Stadt Teltow,Teltow
Gemeinde Titz,Titz
Titz,Titz
Stadt Tornesch,Tornesch
Stadt Trier,Trier
Verbandsgemeinde Trier-Land,Trier-Land
Stadt Troisdorf,Troisdorf
Stadt Twistringen,Twistringen
Stadtbücherei Twistringen,Twistringen
Gemeinde Uetze,Uetze
Stadt Ulm,Ulm
"Stadt Ulm, Bürgerdienste/Statistik und Wahlen",Ulm
"Stadt Ulm, Zentrale Steuerung/Finanzen",Ulm
Digitale Agenda - Stadt Ulm,Ulm
SWU Stadtwerke Ulm/Neu-Ulm GmbH,Ulm
Stadt Ulm,Ulm
Landratsamt Unstrut-Hainich-Kreis,Unstrut-Hainich-Kreis
Gemeinde Unstruttal,Unstruttal
Gemeinde Unterwellenborn,Unterwellenborn
Stadt Varel,Varel
Samtgemeinde Velpke,Velpke
Verbandsgemeinde Adenau,Verbandsgemeinde Adenau
Verbandsgemeinde Altenahr,Verbandsgemeinde Altenahr
VG Altenahr,Verbandsgemeinde Altenahr
altenkirchen,Verbandsgemeinde Altenkirchen
Verbandsgemeinde Altenkirchen,Verbandsgemeinde Altenkirchen
Verbandsgemeinde Bernkastel Kues,Verbandsgemeinde Bernkastel-Kues
Verbandsgemeinde Brohltal,Verbandsgemeinde Brohtal
Verbandsgemeinde Cochem,Verbandsgemeinde Cochem
VG Cochem,Verbandsgemeinde Cochem
Verbandsgemeinde Cochem,Verbandsgemeinde Cochem
Verbandsgemeinde Dierdorf,Verbandsgemeinde Dierdorf
VG Dierdorf,Verbandsgemeinde Dierdorf
Verbandsgemeinde Eich,Verbandsgemeinde Eich
Verbandsgemeide Emmelshausen,Verbandsgemeinde Emmelshausen
Verbandsgemeinde Emmelshausen,Verbandsgemeinde Emmelshausen
Verbandsgemeinde Gerolstein,Verbandsgemeinde Gerolstein
VG Gerolstein,Verbandsgemeinde Gerolstein
Verbandsgemeinde Hamm,Verbandsgemeinde Hamm
VG Hamm,Verbandsgemeinde Hamm
hermeskeil,Verbandsgemeinde Hermeskeil
Verbandsgemeinde Hermeskeil,Verbandsgemeinde Hermeskeil
Verbandsgemeinde Jockgrim,Verbandsgemeinde Jockgrim
VG Jockgrim,Verbandsgemeinde Jockgrim
Verbandsgemeide Kastellaun,Verbandsgemeinde Kastellaun
Verbandsgemeinde Kastellaun,Verbandsgemeinde Kastellaun
Verbandsgemeide Kirchberg,Verbandsgemeinde Kirchberg
Verbandsgemeinde Kirchberg,Verbandsgemeinde Kirchberg
Verbandsgemeinde Konz,Verbandsgemeinde Konz
Verbandsgemeinde Meisenheim,Verbandsgemeinde Meisenheim
VG Meisenheim,Verbandsgemeinde Meisenheim
Verbandsgemeinde Obere Kyll,Verbandsgemeinde Obere Kyll
VG Obere Kyll,Verbandsgemeinde Obere Kyll
Verbandsgemeinde Otterbach-Otterberg,Verbandsgemeinde Otterbach-Otterberg
VG Otterbach-Otterberg,Verbandsgemeinde Otterbach-Otterberg
Verbandsgemeinde Prüm,Verbandsgemeinde Prüm
Verbandsgemeinde Puderbach,Verbandsgemeinde Puderbach
VG Puderbach,Verbandsgemeinde Puderbach
Verbandsgemeide Rheinböllen,Verbandsgemeinde Rheinböllen
Verbandsgemeinde Rheinböllen,Verbandsgemeinde Rheinböllen
rodalben,Verbandsgemeinde Rodalben
Verbandsgemeinde Rodalben,Verbandsgemeinde Rodalben
Verbandsgemeinde Sankt Goar - Oberwesel,Verbandsgemeinde Sankt Goar - Oberwesel
Verbandsgemeinde Sankt Goar-Oberwesel,Verbandsgemeinde Sankt Goar - Oberwesel
Verbandsgemeinde Selters,Verbandsgemeinde Selters
VG Selters,Verbandsgemeinde Selters
Verbandsgemeide Simmern,Verbandsgemeinde Simmern
Verbandsgemeinde Simmern,Verbandsgemeinde Simmern
südeifel,Verbandsgemeinde Südeifel
Verbandsgemeinde Südeifel,Verbandsgemeinde Südeifel
Verbandsgemeinde Thalfang am Erbeskopf,Verbandsgemeinde Thalfang am Erbeskopf
Verbandsgemeinde Traben-Trabach,Verbandsgemeinde Traben-Trarbach
Verbandsgemeinde Traben-Trarbach,Verbandsgemeinde Traben-Trarbach
VG Uder,Verbandsgemeinde Uder
Verbandsgemeinde Vordereifel,Verbandsgemeinde Vordereifel
VG Vordereifel,Verbandsgemeinde Vordereifel
Verbandsgemeinde Weißenthurm,Verbandsgemeinde Weißenthurm
Verbandsgemeinde Wittlich-Land,Verbandsgemeinde Wittlich-Land
Verwaltungsgemeinschaft Dolmar-Salzbrücke,Verwaltungsgemeinschaft Dolmar-Salzbrücke
Verwaltungsgemeinschaft Dornburg-Camburg,Verwaltungsgemeinschaft Dornburg-Camburg
Verwaltungsgemeinschaft Fahner Höhe,Verwaltungsgemeinschaft Fahner Höhe
Verwaltungsgemeinschaft Feldstein,Verwaltungsgemeinschaft Feldstein
Verwaltungsgemeinschaft Gera-Aue,Verwaltungsgemeinschaft Gera-Aue
Verwaltungsgemeinschaft Geratal/Plaue,Verwaltungsgemeinschaft Geratal/Plaue
Geratal,Verwaltungsgemeinschaft Geratal/Plaue
VG Gramme-Vippach,Verwaltungsgemeinschaft Gramme-Vippach
Verwaltungsgemeinschaft Gramme-Vippach,Verwaltungsgemeinschaft Gramme-Vippach
Verwaltungsgemeinschaft Greußen,Verwaltungsgemeinschaft Greußen
VG Hainich-Werratal,Verwaltungsgemeinschaft Hainich-Werratal
Verwaltungsgemeinschaft Heideland-Elstertal-Schkölen,Verwaltungsgemeinschaft Heideland-Elstertal-Schkölen
Verwaltungsgemeinschaft Heldburger Unterland,Verwaltungsgemeinschaft Heldburger Unterland
Hermsdorf,Verwaltungsgemeinschaft Hermsdorf
Verwaltungsgemeinschaft Hermsdorf,Verwaltungsgemeinschaft Hermsdorf
Verwaltungsgemeinschaft Hohe Rhön,Verwaltungsgemeinschaft Hohe Rhön
Verwaltungsgemeinschaft Kindelbrück,Verwaltungsgemeinschaft Kindelbrück
Verwaltungsgemeinschaft Ländereck,Verwaltungsgemeinschaft Ländereck
Verwaltungsgemeinschaft Münchenbernsdorf,Verwaltungsgemeinschaft Münchenbernsdorf
"Verwaltungsgemeinschaft \Nesseaue\""",Verwaltungsgemeinschaft Nesseaue
Verwaltungsgemeinschaft Nesseaue,Verwaltungsgemeinschaft Nesseaue
Verwaltungsgemeinschaft Oppurg,Verwaltungsgemeinschaft Oppurg
Verwaltungsgemeinschaft Pleißenaue,Verwaltungsgemeinschaft Pleißenaue
Verwaltungsgemeinschaft Riechheimer Berg,Verwaltungsgemeinschaft Riechheimer Berg
Verwaltungsgemeinschaft Seenplatte,Verwaltungsgemeinschaft Seenplatte
VG Straußfurt,Verwaltungsgemeinschaft Straußfurt
Straußfurt,Verwaltungsgemeinschaft Straußfurt
Verwaltungsgemeinschaft Straußfurt,Verwaltungsgemeinschaft Straußfurt
Verwaltungsgemeinschaft Südliches Saaletal,Verwaltungsgemeinschaft Südliches Saaletal
Verwaltungsgemeinschaft Triptis,Verwaltungsgemeinschaft Triptis
Verwaltungsgemeinschaft Wasungen-Amt Sand,Verwaltungsgemeinschaft Wasungen-Amt Sand
Küllstedt,Verwaltungsgemeinschaft Westerwald-Obereichsfeld
Verwaltungsgemeinschaft Westerwald-Obereichsfeld,Verwaltungsgemeinschaft Westerwald-Obereichsfeld
Verwaltungsgemeinschaft Wünschendorf/Elster,Verwaltungsgemeinschaft Wünschendorf/Elster
Vettweiß,Vettweiß
Stadt Viersen,Viersen
Stadt Villingen-Schwenningen - Stadtplanungsamt,Villingen-Schwenningen
Villingen-Schwenningen,Villingen-Schwenningen
Stadt Villingen-Schwenningen - Vermessungsamt,Villingen-Schwenningen
Stadt Vreden,Vreden
Tim Neuhäuser,Wachtendonk
Gemeinde Wagenfeld,Wagenfeld
Stadt Wahlstedt,Wahlstedt
Stadt Waltershausen,Waltershausen
Stadt Waltrop,Waltrop
Gemeinde Wardenburg,Wardenburg
Landratsamt Wartburgkreis,Wartburgkreis
Samtgemeinde Wathlingen,Wathlingen
Stadt Wedel,Wedel
Wegberg,Wegberg
Stadt Weida,Weida
Weida,Weida
Stadt Weida und der beauftragenden Gemeinden,Weida
Stadt Weimar,Weimar
Stadt Weißensee,Weißensee
Wendelstein,Wendelstein
Stadt Werne,Werne
Kreis Wesel,Wesel
Stadt Wesel,Wesel
Volkshochschule Wesel Hamminkeln Schermbeck,Wesel
Wesel,Wesel
Stadt Wesseling,Wesseling
Wesseling,Wesseling
Wetter ,Wetter
Stadt Wetter (Ruhr),Wetter (Ruhr)
Wetteraukreis,Wetteraukreis
Landeshauptstadt Wiesbaden,Wiesbaden
Gemeinde Wietze,Wietze
Stadt Wittlich,Wittlich
Stadtverwaltung Wittlich,Wittlich
Stadt Wolfsburg,Wolfsburg
Verbandsgemeinde Wonnegau,Wonnegau
Verbandsgemeindeverwaltung Wonnegau,Wonnegau
Gemeinde Worpswede,Worpswede
Verbandsgemeinde Wörrstadt,Wörrstadt
Stadt Wörth,Wörth
Stadt Wriezen,Wriezen
Stadt Wuppertal,Wuppertal
Wuppertal,Wuppertal
Wuppertaler Stadtwerke,Wuppertal
Beteiligungsmanagement Stadt Wuppertal,Wuppertal
Feuerwehr Stadt Wuppertal (304),Wuppertal
Gebäudemanagement Stadt Wuppertal,Wuppertal
Geodatenzentrum Stadt Wuppertal,Wuppertal
Kämmerei Stadt Wuppertal,Wuppertal
Presseamt Stadt Wuppertal,Wuppertal
"Stadt Wuppertal, Auszüge Planungsrechtskataster (102.1301)",Wuppertal
"Stadt Wuppertal, Bauleitplanung (105.1)",Wuppertal
"Stadt Wuppertal, Bauleitung und Montage, Park- und Messtechnik (104.34)",Wuppertal
"Stadt Wuppertal, Denkmalschutz und Denkmalpflege (105.03)",Wuppertal
"Stadt Wuppertal, Denkmalschutz und Denkmalpflege (105.03)",Wuppertal
"Stadt Wuppertal, Gesamtverkehrsplanung (104.51)",Wuppertal
"Stadt Wuppertal, Gesundheitsamt (305)",Wuppertal
"Stadt Wuppertal, Infektions- und Umwelthygiene (305.8)",Wuppertal
"Stadt Wuppertal, Innovationslabor (402.02)",Wuppertal
"Stadt Wuppertal, Kleingärten; Sondergrabanlagen (103.52)",Wuppertal
"Stadt Wuppertal, Klimaschutz (300.2)",Wuppertal
"Stadt Wuppertal, Liegenschaftskataster (102.2101)",Wuppertal
"Stadt Wuppertal, Nahmobilität (104.54)",Wuppertal
"Stadt Wuppertal, Nahverkehrsplanung und ÖPNV-Aufgabenträgerschaft (104.53)",Wuppertal
"Stadt Wuppertal, Öffentliche Beleuchtung (104.25)",Wuppertal
"Stadt Wuppertal, Ordnungsamt (302)",Wuppertal
"Stadt Wuppertal, Planungsrechtskarten (102.1302)",Wuppertal
"Stadt Wuppertal, Raumbezogene Informationsverarbeitung (102.3401)",Wuppertal
"Stadt Wuppertal, Ressort 102 Vermessung, Katasteramt und Geodaten",Wuppertal
"Stadt Wuppertal, Stadtkartographie (102,3201)",Wuppertal
"Stadt Wuppertal, Stadtkartographie (102.3201)",Wuppertal
"Stadt Wuppertal, Tageseinrichtungen für Kinder - Jugendamt, Organisation, Planung und Recht (202.1101)",Wuppertal
"Stadt Wuppertal, Untere Immissionsschutz- und Abfallwirtschaftsbehörde (106.28)",Wuppertal
"Stadt Wuppertal, Verkehrslenkung und Ausnahmegenehmigungen (104.11)",Wuppertal
Standesamt Wuppertal,Wuppertal
Statistik und Wahlen - Stadt Wuppertal,Wuppertal
Wuppertaler Stadtwerke AG (WSW),Wuppertal
Beteiligungsmanagement Stadt Wuppertal,Wuppertal
Bürgerbeteiligung Wuppertal,Wuppertal
Bürgerbeteiligung Wuppertal - Frau Utsch,Wuppertal
Der Gutachterausschuss für Grundstückswerte in der Stadt Wuppertal,Wuppertal
Feuerwehr Stadt Wuppertal (304),Wuppertal
Gebäudemanagement Stadt Wuppertal,Wuppertal
Geodatenzentrum Stadt Wuppertal,Wuppertal
Kämmerei Stadt Wuppertal,Wuppertal
"Stadt Wuppertal, Auszüge Planungsrechtskataster (102.1301)",Wuppertal
"Stadt Wuppertal, Bauleitung und Montage, Park- und Messtechnik (104.34)",Wuppertal
"Stadt Wuppertal, Denkmalschutz und Denkmalpflege (105.03)",Wuppertal
"Stadt Wuppertal, Denkmalschutz und Denkmalpflege (105.03)",Wuppertal
"Stadt Wuppertal, Infektions- und Umwelthygiene (305.8)",Wuppertal
"Stadt Wuppertal, Innovationslabor (402.02)",Wuppertal
"Stadt Wuppertal, Kleingärten; Sondergrabanlagen (103.52)",Wuppertal
"Stadt Wuppertal, Klimaschutz (300.2)",Wuppertal
"Stadt Wuppertal, Landschaftsplanung und -pflege, Untere Naturschutzbehörde (106.11)",Wuppertal
"Stadt Wuppertal, Liegenschaftskataster (102.2101)",Wuppertal
"Stadt Wuppertal, Nahmobilität (104.54)",Wuppertal
"Stadt Wuppertal, Nahverkehrsplanung und ÖPNV-Aufgabenträgerschaft (104.53)",Wuppertal
"Stadt Wuppertal, Ordnungsamt (302)",Wuppertal
"Stadt Wuppertal, Parkausweise und Ausnahmegenehmigung Fahrverbote (104.1101)",Wuppertal
"Stadt Wuppertal, Planungsrechtskarten (102.1302)",Wuppertal
"Stadt Wuppertal, Raumbezogene Informationsverarbeitung (102.3401)",Wuppertal
"Stadt Wuppertal, Stadtkartographie (102,3201)",Wuppertal
"Stadt Wuppertal, Stadtkartographie (102.3201)",Wuppertal
"Stadt Wuppertal, Städtebau (101.21)",Wuppertal
"Stadt Wuppertal, Tageseinrichtungen für Kinder - Jugendamt, Organisation, Planung und Recht (202.1101)",Wuppertal
"Stadt Wuppertal, Untere Immissionsschutz- und Abfallwirtschaftsbehörde (106.28)",Wuppertal
"Stadt Wuppertal, Verkehrslenkung und Ausnahmegenehmigungen (104.11)",Wuppertal
"Stadt Wuppertal, Öffentliche Beleuchtung (104.25)",Wuppertal
Standesamt Wuppertal,Wuppertal
Statistik und Wahlen - Stadt Wuppertal,Wuppertal
Wuppertaler Stadtwerke AG (WSW),Wuppertal
geodatenzentrum@stadt.wuppertal.de,Wuppertal
Gebäudemanagement Wuppertal (GMW),Wuppertal
"Stadt Wuppertal, Amt für Informationstechnik und Digitalisierung (402)",Wuppertal
"Stadt Wuppertal, Bürgeramt (003)",Wuppertal
"Stadt Wuppertal, Feuerwehr (304)",Wuppertal
"Stadt Wuppertal, Gesundheitsamt (305)",Wuppertal
"Stadt Wuppertal, Koordinierungsstelle Klimaschutz (300.2)",Wuppertal
"Stadt Wuppertal, Kämmerei (403.1)",Wuppertal
"Stadt Wuppertal, Ressort 001 Büro des Oberbürgermeisters",Wuppertal
"Stadt Wuppertal, Ressort 101 Stadtentwicklung und Städtebau",Wuppertal
"Stadt Wuppertal, Ressort 102 Vermessung, Katasteramt und Geodaten",Wuppertal
"Stadt Wuppertal, Ressort 103 Grünflächen und Forsten",Wuppertal
"Stadt Wuppertal, Ressort 104 Straßen und Verkehr",Wuppertal
"Stadt Wuppertal, Ressort 105 Bauen und Wohnen",Wuppertal
"Stadt Wuppertal, Ressort 106 Umweltschutz",Wuppertal
"Stadt Wuppertal, Ressort 106 Umweltschutz",Wuppertal
"Stadt Wuppertal, Ressort 302 Ordnungsamt",Wuppertal
"Stadt Wuppertal, Ressort 403 Finanzen",Wuppertal
"Stadt Wuppertal, Ressort 403 Finanzen",Wuppertal
"Stadt Wuppertal, Ressortmanagement, Wahlamt und Statistik (101.3)",Wuppertal
"Stadt Wuppertal, Tageseinrichtungen für Kinder - Jugendamt (202)",Wuppertal
"Stadt Wuppertal, Bürgeramt (003)",Wuppertal
"Stadt Wuppertal, Feuerwehr (304)",Wuppertal
"Stadt Wuppertal, Ressort 106 Umweltschutz",Wuppertal
"Stadt Wuppertal, Ressort 403 Finanzen",Wuppertal
"Stadt Wuppertal, Denkmalschutz und Denkmalpflege (105.03)",Wuppertal
"Stadt Wuppertal, Infektions- und Umwelthygiene (305.8)",Wuppertal
"Stadt Wuppertal, Untere Immissionsschutz- und Abfallwirtschaftsbehörde (106.28)",Wuppertal
"Stadt Wuppertal, Bauleitplanung (105.1)",Wuppertal
"Stadt Wuppertal; Stadttopografie, Grundlagenkarten (102.2201)",Wuppertal
Stadt Waldkraiburg,Wuppertal
"Stadt Wuppertal, Denkmalschutz und Denkmalpflege (105.03)",Wuppertal
"Stadt Wuppertal, Klima und Nachhaltigkeit (307.22)",Wuppertal
"Stadt Wuppertal, Stadtkartographie (102.32)",Wuppertal
"Stadt Wuppertal, Untere Immissionsschutz- und Abfallwirtschaftsbehörde (106.28)",Wuppertal
würselen,Würselen
Stadt Würselen - Der Bürgermeister,Würselen
Stadt Wurzbach,Wurzbach
Stadt Würzburg,Würzburg
Smarte Region Würzburg,Würzburg
Stadt Würzburg -  Baureferat/Fachbereich Tiefbau und Verkehrswesen,Würzburg
Stadt Würzburg - Fachbereich Tiefbau und Verkehrswesen / Geodaten und Vermessung,Würzburg
Stadt Würzburg Fachabteilung Tiefbau - Geodaten und Vermessung - Veitshöchheimer Straße 1 97080 Würzburg,Würzburg
"Stadt Würzburg, Die Stadtreiniger",Würzburg
"Stadt Würzburg, Fachabteilung Statistik",Würzburg
Würzburger Versorgungs- und Verkehrs-GmbH,Würzburg
Xanten,Xanten
Stadt Zella-Mehlis,Zella-Mehlis
Stadt Zeulenroda-Triebes und der beauftragenden Gemeinden,Zeulenroda-Triebes
ZV EG Flugplatz Zweibrücken,Zweibrücken
Zweckverband Entwicklungsgebiet Flugplatz Zweibrücken,Zweibrücken
Stadt Zwönitz,Zwönitz
